change_order_id,co_type,description,submitted_date,approved_date,status,cost_impact,schedule_impact_days,responsible_party,building_id,wbs_code,wbs_level_1
CO-1001,OCO,Masonry wall type change at server room boundary,2024-04-12,05/12/2024,Approved,569218.6,29,Owner - Scope Add,BLD-A,04.30.001,04-MEP
CO-1002,OCO,HVAC equipment substitution — long lead item,2025-04-21,23-May-2025,Approved,736262.11,8,Owner - Scope Add,BLD-A,05.20.001,05-IT-INFRA
CO-1003,OCO,HVAC equipment substitution — long lead item,2023-07-22,08-19-2023,Approved,644171.36,9,Owner - Scope Add,BLD-A,03.10.001,03-ENVELOPE
CO-1004,COR,Schedule acceleration request — overtime premium,2024-02-07,2024-03-06,Rejected,886394.73,10,Owner,BLD-A,07.20.001,07-COMMISSIONING
CO-1005,OCO,Structural steel connection detail change,01/04/2025,01/22/2025,Approved,263290.09,0,General Contractor,BLD-A,04.30.001,04-MEP
CO-1006,COR,Masonry wall type change at server room boundary,12-26-2023,10-Jan-2024,Approved,2063896.46,0,Owner - Scope Add,BLD-A,01.30.001,01-SITEWORK
CO-1007,COR,Additional monitoring sensors — owner request,27-Feb-2025,04-07-2025,Approved,581416.81,0,General Contractor,BLD-A,08.20.001,08-SOFT-COSTS
CO-1008,PCO,Unforeseen soil conditions — additional piles required,09-01-2023,,Under Review,2364800.85,28,Architect,BLD-A,05.30.001,05-IT-INFRA
CO-1009,COR,Door hardware upgrade per owner security standard,14-Mar-2025,03/29/2025,Approved,733795.6,41,Owner - Scope Add,BLD-A,08.30.001,08-SOFT-COSTS
CO-1010,COR,Waterproofing scope expansion at below-grade walls,04/27/2024,11-Jun-2024,Approved,1176068.08,0,Owner,BLD-A,08.10.001,08-SOFT-COSTS
CO-1011,COR,Schedule acceleration request — overtime premium,27-Aug-2024,10-02-2024,Approved,1086381.03,0,Subcontractor,BLD-A,04.20.001,04-MEP
CO-1012,OCO,Owner-directed scope addition: generator pad expansion,09/07/2023,2023-09-19,Approved,215705.79,7,Owner - Scope Add,BLD-A,04.30.001,04-MEP
CO-1013,OCO,Owner-directed scope addition: generator pad expansion,01-26-2025,,Pending,1859537.8,0,Architect,BLD-A,08.20.001,08-SOFT-COSTS
CO-1014,PCO,Masonry wall type change at server room boundary,03/06/2025,19-Mar-2025,Approved,1597067.78,0,Owner - Scope Add,BLD-A,05.30.001,05-IT-INFRA
CO-1015,OCO,Temporary power extension — schedule change,2024-07-11,08-04-2024,Approved,1586185.01,28,Architect,BLD-A,07.20.001,07-COMMISSIONING
CO-1016,PCO,Schedule acceleration request — overtime premium,07-30-2023,2023-08-25,Approved,2576381.93,0,General Contractor,BLD-A,02.20.001,02-STRUCTURE
CO-1017,COR,Structural steel connection detail change,02-Oct-2023,,Pending,563128.71,27,Owner - Scope Add,BLD-A,02.30.001,02-STRUCTURE
CO-1018,COR,Temporary power extension — schedule change,02-Mar-2025,12-Mar-2025,Approved,393402.72,0,Subcontractor,BLD-A,01.30.001,01-SITEWORK
CO-1019,COR,Design change: raised floor height increased 6 inches,09-Nov-2024,,Pending,1130423.65,14,Architect,BLD-A,02.10.001,02-STRUCTURE
CO-1020,OCO,Owner-directed scope addition: generator pad expansion,05-25-2025,,Pending,1336903.35,0,General Contractor,BLD-A,03.20.001,03-ENVELOPE
CO-1021,COR,Additional seismic bracing per revised calculations,2024-01-26,02/15/2024,Approved,2136946.15,0,Owner,BLD-A,02.10.001,02-STRUCTURE
CO-1022,OCO,Owner-directed scope addition: generator pad expansion,11-10-2023,01-Dec-2023,Approved,1375747.69,43,Subcontractor,BLD-A,01.30.001,01-SITEWORK
CO-1023,COR,Design change: raised floor height increased 6 inches,07-20-2023,07-31-2023,Approved,2407013.54,37,Subcontractor,BLD-A,04.40.001,04-MEP
CO-1024,PCO,Additional seismic bracing per revised calculations,22-Jul-2023,,Under Review,439838.56,40,General Contractor,BLD-A,08.30.001,08-SOFT-COSTS
CO-1025,COR,Material escalation: copper wire price increase,03/06/2024,04/07/2024,Approved,1443293.25,26,General Contractor,BLD-A,04.20.001,04-MEP
CO-1026,OCO,Additional monitoring sensors — owner request,04-Dec-2024,,Pending,1462223.74,13,Owner,BLD-A,04.30.001,04-MEP
